Gold (OG|GC) G2RN6 (0.25 DTE) vs 4115.2 (+32.8) - Open Interest
Put: 3,381  Call: 2,799  Vol: 34.41  Vol Chg: 1.08  Future Chg: 32.8
Strike,Call,Put,Vol Settle
4005,0,52,0.39551928413311543
4010,0,80,0.39115035628265105
4015,0,27,0.38688502438617434
4020,1,8,0.38273209993167256
4025,15,87,0.3787002055573794
4030,2,9,0.37479777502221623
4035,0,17,0.37103305322580127
4040,21,15,0.3674140961888952
4045,7,13,0.36394877107886714
4050,189,392,0.36064475619104996
4055,4,7,0.3575095409487403
4060,231,131,0.35455042591001984
4065,12,102,0.3517745227677551
4070,7,14,0.3491887543514167
4075,48,279,0.3467998546138915
4080,23,104,0.3446143686437608
4085,26,13,0.34263865267075744
4090,14,5,0.3408788740457567
4095,10,20,0.3393410112580568
4100,214,147,0.3380308539294674
4105,20,9,0.33695400280976173
4110,90,21,0.33611586979304775
4115,25,14,0.33552167789412124
4120,11,5,0.3351764612680199
4125,133,22,0.3350850651968358
4130,59,5,0.33525214609881004
4135,18,2,0.33568217152833313
4140,18,13,0.336379420160938
4145,17,67,0.33734798181785663
4150,179,78,0.3385917574491941
4155,12,1,0.34011445912938143
4160,30,0,0.3419196100840054
4165,48,6,0.34401054464660774
4170,17,0,0.34639040830643353
4175,97,26,0.3490621576702324
4180,63,62,0.35202856048681497
4185,32,0,0.35529219563204606
4190,28,0,0.358855453115666
4195,6,52,0.3627205340817454
4200,282,23,0.36688945081050406
4205,10,0,0.37136402670421376
4210,2,0,0.37614589630493356
4215,59,0,0.38123650529314546
4220,13,0,0.3866371104654718
4225,21,3,0.3923487797719645
