Gold (OG|GC) G2RQ6 (0.21 DTE) vs 4410.1 (-24.2) - Open Interest
Put: 3,176  Call: 3,359  Vol: 32.83  Vol Chg: 3.59  Future Chg: -24.2
Strike,Call,Put,Vol Settle
4310,0,29,0.3791431006411585
4315,0,25,0.37249180547587457
4320,0,266,0.3660508854682121
4325,22,224,0.35982744787543197
4330,0,14,0.35382818080870493
4335,0,465,0.3480593533422507
4340,2,41,0.3425268153714569
4345,1,9,0.3372359977092856
4350,64,83,0.3321919120498933
4355,1,22,0.3273991509759071
4360,1,48,0.3228618879511487
4365,1,10,0.31858387734610005
4370,2,35,0.314568454385153
4375,13,29,0.31081853521754965
4380,5,27,0.30733661685007974
4385,4,11,0.3041247772052884
4390,0,58,0.30118467507236346
4395,0,9,0.29851755012168724
4400,339,241,0.2961242229321215
4405,13,8,0.2940050949691795
4410,0,42,0.2921601485595602
4415,5,26,0.2905889469493559
4420,9,59,0.2892906342549395
4425,51,51,0.28826393548297347
4430,4,59,0.2875071565340477
4435,24,23,0.2870181841753947
4440,166,20,0.28679448609545943
4445,7,8,0.2868331108493294
4450,83,26,0.28713068786055373
4455,6,28,0.2876834274884459
4460,100,3,0.28848712094986695
4465,4,0,0.28953714033195865
4470,48,0,0.29082843864671304
4475,33,0,0.2923555497854977
4480,23,0,0.29411258850632294
4485,140,0,0.2960932504538505
4490,48,27,0.29829081219759246
4495,30,0,0.30069813116460864
4500,193,3,0.3033076456576964
4505,17,0,0.3061113749190554
4510,17,0,0.30910091901569103
