Gold (OG|GC) OG1U6 (0.07 DTE) vs 4451.7 (-53.2) - Open Interest
Put: 6,324  Call: 8,531  Vol: 28.02  Vol Chg: -6.68  Future Chg: -53.2
Strike,Call,Put,Vol Settle
4405,27,33,0.37899921145799453
4410,6,28,0.37491141795544536
4415,23,11,0.371044624366732
4420,6,77,0.36740042288602126
4425,112,129,0.36398020526667096
4430,196,41,0.36078516282486817
4435,239,4,0.35781628643871954
4440,121,168,0.35507436655734637
4445,90,7,0.3525599931863326
4450,221,193,0.35027355589318176
4455,15,6,0.3482152438182311
4460,34,14,0.34638504565191397
4465,4,147,0.34478274965749733
4470,29,62,0.3434079436592583
4475,285,263,0.3422600150515791
4480,93,162,0.3413381507716622
4485,309,59,0.34064133734227653
4490,267,36,0.3401683608426538
4495,11,17,0.33991780691576423
4500,283,497,0.3398880607519459
