Gold (OG|GC) OG3N6 (0.13 DTE) vs 4002.3 (+10.2) - Open Interest
Put: 7,874  Call: 9,410  Vol: 33.07  Vol Chg: -0.11  Future Chg: 10.2
Strike,Call,Put,Vol Settle
3930,0,51,0.3928873596014455
3935,0,140,0.38728017650237234
3940,1,100,0.38184069806402476
3945,0,77,0.3765814280545783
3950,2,505,0.3715146287145217
3955,0,39,0.3666523207652972
3960,2,23,0.36200628341339325
3965,0,18,0.35758805432351437
3970,1,78,0.3534089296535967
3975,1,175,0.3494799640293422
3980,6,52,0.345811970563318
3985,6,20,0.34241552084768045
3990,9,29,0.3393009449268902
3995,12,39,0.33647833135091787
4000,130,442,0.33395752713386173
4005,15,20,0.3317481377725926
4010,10,21,0.32985952723538503
4015,22,22,0.32830081797146704
4020,31,32,0.32708089090556314
4025,85,205,0.3262083854415323
4030,173,135,0.32569169945327303
4035,53,40,0.3255389893083702
4040,18,16,0.3257581698380818
4045,50,12,0.32635691434825276
4050,193,287,0.3273426546347764
4055,68,21,0.3287225809572192
4060,83,20,0.3305036420670149
4065,33,9,0.33269254518199887
4070,57,22,0.33529575600005046
4075,55,91,0.33831949869727396
